# this table lists all the cells recorded in CM. In order to be marked as
# healthy, a neuron needs to meet the following criteria:
# - spike height > 0 mV
# - resting potential < -60 mV
#
# the heat column is used to indicate whether the recording was done at room
# temperature (RT) or at an elevated temperature (H) that should be recorded
# in the ABF file. Sometimes these data were lost, in which case an override
# value can be supplied here
name cell class base.epoch healthy complex biocytin age heat drug isolate
20150630_1_4 be85f133-0e0f-41af-b59b-66bf5714f310 trans 2 1 0 0 181 RT none colony
20150630_1_5 4a6d171a-3dae-4181-af18-a39a7b1852e1 trans 2 1 0 0 181 RT none colony
20150702_1_2 d9f86250-8a46-4698-8332-b2cd43a3bb6a trans 4 0 0 0 305 RT none colony
20150702_3_1 eb8b784e-63a4-4331-ac0e-b784c252f9f1 trans 2 1 0 0 305 RT none colony
20150805_2_1 59be8211-5b24-4e0e-a7c0-b9e58d87128d onset 2 0 0 0 157 H none colony
20180806_1_2 621a23fa-fbaa-4e5f-be2c-7827ba3cb36e onset 2 0 1 0 246 H none colony
20150810_2_3 66bef1fd-915b-4401-b947-a4d9019b174e trans 2 0 0 0 153 H none colony
20150812_1_4 bf36a0fe-6412-4419-b5c3-59062c5ba808 onset 2 0 0 0 163 H none colony
20150812_2_1 8b9bbc7a-5c4c-4ddc-8c95-9ac08353ebbb onset 4 0 0 0 163 H none colony
20150814_3_1 45d23f0f-7fa0-4d11-b09d-54a583cb2546 onset 4 0 0 0 141 H none colony
20150817_1_1 0f9924ac-027f-4587-94cb-f92bd627ad7c trans 2 1 0 0 147 H none colony
20150817_1_2 c1ce5dec-c153-437f-a3fb-3ac5d5d636de fast 4 0 0 0 147 H none colony
20150818_2_2 2a87a66b-92b2-4fa2-9c13-19026bef4a98 trans 6 1 1 0 106 H none colony
20150819_2_1 855846d5-7f4a-4384-95e6-a98408369f18 onset 2 1 0 0 321 H none colony
20150820_1_3 163fab0d-8d8e-49ef-b152-d6d10c008fa5 regular 2 0 0 0 171 H none colony
20150820_2_2 7a746b04-fc7d-41d5-97f7-83a77bdd7aaa onset 5 1 0 0 171 H none colony
20150821_2_1 6f56fa9c-32a8-457a-a016-f1c6452dba29 onset 2 1 0 0 169 H none colony
20150824_1_2 5c55038e-9e12-43b3-8609-8ced5832f01c fast 2 1 0 0 156 H none colony
20150826_2_1 3d66676a-1f48-43c6-b7ca-36931df694db onset 2 1 0 0 34 H none colony
20150827_1_1 be96604e-a5f1-47c3-96cc-d9dfb85ce88d regular 2 1 1 0 35 H none colony
20150902_1_1 7856808a-a437-4cc3-878e-e5773a429689 onset 2 1 0 0 24 H none colony
20150903_2_1 233ad485-f1c4-4e93-96ea-26016003c80c regular 5 1 1 0 25 H none colony
20150903_2_2 4a03959d-d637-400a-9b58-0d248c787c82 regular 7 1 1 0 25 H none colony
20150914_1_1 0d781914-c265-4771-9241-108710f47d5f regular 2 1 1 0 33 H none colony
20150915_1_2 04943121-285e-4515-bf35-2e3026fd1053 onset 2 1 0 0 31 H none colony
20150918_1_1 2920423d-e8bb-4219-a97f-bb5d05c293da onset 2 1 1 0 31 H none colony
20150921_1_1 8269736b-0829-437a-9ece-af1a718df24a onset 2 1 1 0 30 H none colony
20150921_1_2 bb802c1d-8d28-4e83-b750-ade6f0e24a39 regular 3 0 1 0 30 H none colony
20150921_1_3 33d9225b-1068-4bc3-851a-9e8952f191a8 onset 2 1 0 0 30 H none colony
20150921_1_4 e210896a-9711-4f0a-baef-bc392ad7126d onset 2 1 1 0 30 H none colony
20150921_2_1 fb880c9a-80cc-4a6f-8214-1200f2c4778e onset 2 1 1 0 30 H none colony
20150923_1_1 366e72a3-cdea-4401-93b7-77735aa1d70f fast 2 0 0 0 31 H k colony
20150924_1_1 e9b9b870-265d-49e6-997c-717128beef2e onset 2 1 0 0 31 H syn colony
20150924_2_3 f5b77068-2a2a-449e-a9b7-6c1916a50c87 fast 2 1 0 0 31 H k colony
20150928_1_1 d6021b00-d4be-4e62-853e-3d7f0a999b97 onset 2 1 0 0 33 H none colony
20150928_1_2 d9f45531-adb3-4398-b894-5ccc8894c45e regular 4 1 0 0 33 H k colony
20151102_1_1 99a7b1d4-b0ac-4d30-b004-81cf616cba88 trans 2 0 1 1 31 H none colony
20151102_2_1 884e6232-924d-4d38-b1c9-2fd5e9d0fcc1 trans 2 0 1 1 31 H none colony
20151105_1_1 604e4535-a61b-42b1-8e26-0d0b7e55a864 onset 2 1 0 0 31 H syn colony
20151109_1_1 eade56e1-97eb-4cdf-8b75-db0215060222 onset 7 0 0 0 35 H syn colony
20151110_2_4 f427c918-1c7c-4800-b626-93572c31f7aa onset 2 1 0 0 189 H none colony
20151111_1_1 cd755c66-fa6c-411c-8416-7fd49bf7d43c trans 2 1 0 0 151 H none colony
20151113_1_1 c4b0f38e-e172-45e0-b5df-96273cf58562 fast 2 1 1 0 171 H none colony
20151118_1_1 c96a5b1d-dc3b-4352-b27c-e618c621dd7b onset 4 0 0 0 40 H none colony
20151123_2_1 0bcb06f9-2e68-4f10-8890-97f657dfedeb onset 3 0 1 0 220 H none colony
20151130_1_1 1e5c822a-ae91-4c4b-b3a9-27393f282f6c onset 2 0 1 0 184 H none colony
20151203_2_2 efc6f61e-0900-4a7f-8d3b-6ea42c0c5eb7 trans 3 1 0 0 185 H none colony
20151207_1_2 35f3e8ea-6979-4a7c-a2ca-5a7eaab7707c onset 2 1 1 0 23 H none colony
20151207_2_1 c993dcb4-e525-4877-8ec1-4cff8b9ab006 onset 2 1 1 0 23 H none colony
20151208_1_1 2f564bc1-8e46-425a-bdc4-7d13bc87d729 trans 2 1 0 0 24 H none colony
20151210_1_1 3ed238ed-61ca-478f-a2b9-f1363f8c70d2 burst 2 0 0 0 25 H k colony
20151210_3_1 447dda14-27cd-450e-b855-1a5c766e33db onset 6 0 0 0 25 H k colony
20151211_1_1 97949158-d133-456b-bd9a-ac9f2421c89e onset 4 0 0 0 26 H k colony
20151211_3_1 f8716854-4640-416f-ad63-b9381eff66e2 trans 2 0 0 0 26 H k colony
20151211_3_2 d0fa083e-b049-4bbb-bd13-4b9867c839ee trans 2 0 0 0 26 H k colony
20151214_1_1 f76e01a7-5a52-4483-bcfa-bc46424e02f6 fast 4 0 0 0 27 H none colony
20151214_1_3 858f6bef-368f-4526-bdf9-30a2683375bc fast 2 1 0 0 27 H syn colony
20151215_1_2 41345320-2d4c-401a-9d31-82667296e6c0 trans 2 1 0 0 27 H k colony
20151215_2_1 46e9d17d-089b-46ff-94e0-b95573cdf948 trans 2 1 0 0 27 H k colony
20151216_1_3 a31caca8-2101-4968-b051-ff98fdf6a076 fast 2 1 0 0 25 H ctx colony
20151216_1_6 10667071-13a6-48b0-9a8f-81d9d463ec35 regular 2 1 0 0 25 H syn colony
20151217_1_1 1ebd4f73-c901-4027-b9ae-3652fcb12a20 trans 2 1 0 0 26 H ctx colony
20151218_1_2 49be3dd7-037c-433a-b0a4-e2d9f70d2144 fast 3 1 0 0 26 H ctx colony
